pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
Slider,7,SL,2022-04-08,0,85.05714285714285,-1.09,54.457142857142856,,,,
4-Seam Fastball,8,FF,2022-04-08,0,96.2,-0.765,54.338750000000005,,,,
Changeup,1,CH,2022-04-08,0,90.1,-1.09,54.21,,,,
4-Seam Fastball,14,FF,2022-04-12,0,94.88571428571431,-0.9042857142857142,54.28571428571428,,,,
Slider,16,SL,2022-04-12,0,82.31875000000002,-1.271875,54.38250000000001,,,,
Changeup,1,CH,2022-04-12,0,89.3,-1.25,54.32,,,,
Slider,9,SL,2022-04-16,0,84.04444444444445,-1.041111111111111,54.41222222222221,,,,
4-Seam Fastball,18,FF,2022-04-16,0,95.86111111111109,-0.7255555555555555,54.31944444444446,,,,
Changeup,3,CH,2022-04-16,0,90.36666666666667,-1.1133333333333333,54.19,,,,
Sinker,9,SI,2023-09-01,0,93.52222222222224,-0.9455555555555556,54.53777777777778,,,,
Slider,11,SL,2023-09-01,0,82.5909090909091,-1.1290909090909091,54.53272727272727,,,,
Cutter,8,FC,2023-09-01,0,91.6875,-1.0,54.41,,,,
4-Seam Fastball,11,FF,2023-09-01,0,94.71818181818183,-0.8454545454545456,54.41454545454545,,,,
Changeup,1,CH,2023-09-01,0,89.7,-0.95,54.38,,,,
Slider,3,SL,2023-06-13,0,82.76666666666667,-0.75,54.48666666666667,,,,
4-Seam Fastball,2,FF,2023-06-13,0,95.25,-0.425,54.695,,,,
Cutter,2,FC,2023-06-13,0,89.65,-0.695,54.525000000000006,,,,
Sinker,4,SI,2023-06-14,0,93.625,-0.5225,54.5225,,,,
Slider,7,SL,2023-06-14,0,83.14285714285714,-0.5971428571428571,54.53000000000001,,,,
4-Seam Fastball,5,FF,2023-06-14,0,95.52,-0.246,54.544,,,,
Cutter,3,FC,2023-06-14,0,89.86666666666667,-0.5166666666666667,54.55,,,,
Changeup,3,CH,2023-06-14,0,88.89999999999999,-0.5366666666666666,54.68666666666667,,,,
4-Seam Fastball,5,FF,2023-06-18,0,95.76000000000002,-0.402,54.484,,,,
Slider,11,SL,2023-06-18,0,84.04545454545455,-0.6409090909090909,54.18,,,,
Cutter,3,FC,2023-06-18,0,91.03333333333336,-0.5833333333333334,54.41666666666666,,,,
Sinker,6,SI,2023-06-18,0,93.45,-0.5516666666666666,54.07833333333334,,,,
Changeup,2,CH,2023-06-18,0,90.25,-0.63,54.06,,,,
4-Seam Fastball,3,FF,2023-06-20,0,96.03333333333336,-0.4033333333333333,54.63333333333333,,,,
Slider,3,SL,2023-06-20,0,84.39999999999999,-0.89,54.56,,,,
Cutter,1,FC,2023-06-20,0,91.4,-0.73,54.45,,,,
Sinker,2,SI,2023-06-20,0,93.65,-0.52,54.67,,,,
4-Seam Fastball,8,FF,2023-06-23,0,95.6125,-0.51625,54.48,,,,
Sinker,4,SI,2023-06-23,0,93.925,-0.7025,54.515,,,,
Changeup,1,CH,2023-06-23,0,89.4,-0.89,54.31,,,,
Cutter,3,FC,2023-06-23,0,91.0,-0.7966666666666667,54.35333333333333,,,,
Slider,4,SL,2023-06-23,0,84.25,-0.7975000000000001,54.495,,,,
Cutter,1,FC,2023-06-24,0,89.1,-0.59,54.21,,,,
Cutter,4,FC,2023-06-25,0,90.95,-0.6525,54.52,,,,
Changeup,2,CH,2023-06-25,0,88.95,-0.665,54.53,,,,
Slider,1,SL,2023-06-25,0,84.0,-0.54,54.66,,,,
4-Seam Fastball,4,FF,2023-06-25,0,94.9,-0.3875,54.6525,,,,
4-Seam Fastball,3,FF,2023-06-28,0,95.6,-0.5133333333333333,54.336666666666666,,,,
Cutter,4,FC,2023-06-28,0,90.725,-0.8275,54.405,,,,
Changeup,1,CH,2023-06-28,0,90.5,-0.7,54.23,,,,
Sinker,1,SI,2023-06-28,0,94.0,-0.77,54.29,,,,
Slider,1,SL,2023-06-28,0,83.1,-0.98,54.47,,,,
4-Seam Fastball,1,FF,2023-06-30,0,96.2,-0.64,54.45,,,,
Changeup,1,CH,2023-06-30,0,89.4,-0.78,54.33,,,,
Cutter,2,FC,2023-06-30,0,92.0,-0.7,54.395,,,,
Sinker,4,SI,2023-06-30,0,94.725,-0.5825,54.53,,,,
Slider,1,SL,2023-06-30,0,85.7,-0.77,54.52,,,,
Sinker,4,SI,2023-07-04,0,93.925,-1.195,54.48,,,,
4-Seam Fastball,7,FF,2023-07-04,0,94.98571428571428,-1.018571428571429,54.40285714285715,,,,
Cutter,9,FC,2023-07-04,0,90.55555555555556,-1.1833333333333331,54.39333333333333,,,,
Slider,3,SL,2023-07-04,0,83.56666666666666,-1.2699999999999998,54.35999999999999,,,,
Changeup,1,CH,2023-07-04,0,90.6,-1.13,54.39,,,,
Changeup,3,CH,2023-07-06,0,89.86666666666667,-1.106666666666667,54.303333333333335,,,,
Cutter,3,FC,2023-07-06,0,90.63333333333333,-1.1766666666666667,54.330000000000005,,,,
Slider,5,SL,2023-07-06,0,83.61999999999999,-1.188,54.278,,,,
4-Seam Fastball,7,FF,2023-07-06,0,95.3714285714286,-0.7785714285714286,54.40428571428571,,,,
Sinker,4,SI,2023-07-06,0,94.025,-1.005,54.3025,,,,
Sinker,3,SI,2023-07-08,0,95.2,-1.2566666666666666,54.24666666666667,,,,
Cutter,4,FC,2023-07-08,0,91.925,-1.275,54.24,,,,
4-Seam Fastball,9,FF,2023-07-08,0,96.04444444444444,-1.1377777777777778,54.38,,,,
Changeup,2,CH,2023-07-08,0,91.1,-1.255,54.175,,,,
Slider,3,SL,2023-07-08,0,84.80000000000001,-1.2966666666666666,54.27666666666666,,,,
Cutter,7,FC,2023-07-15,0,91.11428571428571,-1.19,54.45142857142857,,,,
4-Seam Fastball,10,FF,2023-07-15,0,94.63,-1.0950000000000002,54.42199999999999,,,,
Slider,6,SL,2023-07-15,0,83.88333333333334,-1.305,54.511666666666656,,,,
Changeup,2,CH,2023-07-15,0,89.25,-1.375,54.400000000000006,,,,
Sinker,7,SI,2023-07-15,0,93.12857142857142,-1.2442857142857144,54.46,,,,
Sinker,9,SI,2023-07-18,0,94.32222222222222,-1.267777777777778,54.34333333333333,,,,
Cutter,7,FC,2023-07-18,0,92.1,-1.2128571428571426,54.361428571428576,,,,
Slider,6,SL,2023-07-18,0,83.60000000000001,-1.3549999999999998,54.48166666666666,,,,
Changeup,2,CH,2023-07-18,0,90.55,-1.36,54.45,,,,
4-Seam Fastball,1,FF,2023-07-18,0,94.3,-1.09,54.43,,,,
4-Seam Fastball,8,FF,2023-07-25,0,95.95,-1.115,54.38125,,,,
Changeup,1,CH,2023-07-25,0,91.8,-1.17,54.3,,,,
Cutter,3,FC,2023-07-25,0,92.7,-1.2933333333333332,54.44,,,,
Sinker,3,SI,2023-07-25,0,94.56666666666668,-1.2133333333333334,54.42,,,,
Slider,2,SL,2023-07-25,0,84.9,-1.285,54.53,,,,
4-Seam Fastball,8,FF,2023-07-30,0,95.925,-1.015,54.51875,,,,
Cutter,1,FC,2023-07-30,0,92.4,-1.11,54.41,,,,
Slider,1,SL,2023-07-30,0,84.2,-1.27,54.64,,,,
Sinker,2,SI,2023-07-30,0,94.75,-1.1,54.56,,,,
Sinker,9,SI,2023-08-03,0,93.6,-1.1133333333333335,54.43444444444445,,,,
Slider,2,SL,2023-08-03,0,84.35,-1.21,54.38,,,,
Cutter,1,FC,2023-08-03,0,90.6,-1.13,54.58,,,,
Sinker,2,SI,2023-08-04,0,93.75,-0.87,54.58,,,,
Slider,1,SL,2023-08-04,0,81.6,-0.95,54.78,,,,
4-Seam Fastball,1,FF,2023-08-04,0,94.4,-0.85,54.65,,,,
4-Seam Fastball,6,FF,2023-08-05,0,96.23333333333332,-0.9133333333333334,54.44166666666667,,,,
Sinker,10,SI,2023-08-05,0,94.71,-1.126,54.484,,,,
Slider,5,SL,2023-08-05,0,82.82,-1.208,54.49399999999999,,,,
Cutter,2,FC,2023-08-05,0,93.65,-1.185,54.365,,,,
Changeup,1,CH,2023-08-05,0,89.8,-1.35,54.39,,,,
4-Seam Fastball,5,FF,2023-08-13,0,96.52,-0.978,54.120000000000005,,,,
Cutter,4,FC,2023-08-13,0,93.0,-1.1925,53.9675,,,,
Sinker,5,SI,2023-08-13,0,95.04,-1.138,53.858,,,,
Changeup,1,CH,2023-08-13,0,90.1,-1.35,53.88,,,,
4-Seam Fastball,5,FF,2023-08-13,0,96.52,-0.978,54.120000000000005,,,,
Cutter,4,FC,2023-08-13,0,93.0,-1.1925,53.9675,,,,
Sinker,5,SI,2023-08-13,0,95.04,-1.138,53.858,,,,
Changeup,1,CH,2023-08-13,0,90.1,-1.35,53.88,,,,
Sinker,8,SI,2023-08-28,0,94.0625,-1.05625,54.48875,,,,
Slider,9,SL,2023-08-28,0,83.80000000000001,-1.1955555555555557,54.58444444444444,,,,
4-Seam Fastball,7,FF,2023-08-28,0,95.2285714285714,-0.8742857142857143,54.45571428571429,,,,
Cutter,4,FC,2023-08-28,0,91.425,-1.1075,54.335,,,,
Changeup,1,CH,2023-08-28,0,90.3,-1.27,54.39,,,,
Sinker,9,SI,2023-09-01,0,93.52222222222224,-0.9455555555555556,54.53777777777778,,,,
Slider,11,SL,2023-09-01,0,82.5909090909091,-1.1290909090909091,54.53272727272727,,,,
Cutter,8,FC,2023-09-01,0,91.6875,-1.0,54.41,,,,
4-Seam Fastball,11,FF,2023-09-01,0,94.71818181818183,-0.8454545454545456,54.41454545454545,,,,
Changeup,1,CH,2023-09-01,0,89.7,-0.95,54.38,,,,
Sinker,4,SI,2023-09-04,0,93.75,-1.06,54.48,,,,
Slider,3,SL,2023-09-04,0,83.23333333333333,-1.2333333333333334,54.44333333333333,,,,
Changeup,1,CH,2023-09-04,0,90.2,-1.26,54.33,,,,
4-Seam Fastball,3,FF,2023-09-04,0,95.09999999999998,-0.99,54.43333333333334,,,,
Cutter,1,FC,2023-09-04,0,90.7,-1.19,54.24,,,,
Sinker,9,SI,2023-09-06,0,93.57777777777778,-1.1111111111111114,54.39111111111111,,,,
Cutter,6,FC,2023-09-06,0,90.93333333333334,-1.1966666666666668,54.36666666666667,,,,
Changeup,5,CH,2023-09-06,0,89.66,-1.258,54.326,,,,
Slider,3,SL,2023-09-06,0,82.16666666666667,-1.2966666666666666,54.49,,,,
4-Seam Fastball,1,FF,2023-09-06,0,95.8,-0.84,54.38,,,,
Changeup,3,CH,2023-09-09,0,90.8,-1.2933333333333332,54.45,,,,
Sinker,3,SI,2023-09-09,0,94.86666666666667,-1.1166666666666665,54.49333333333334,,,,
Slider,2,SL,2023-09-09,0,82.95,-1.37,54.385,,,,
4-Seam Fastball,2,FF,2023-09-09,0,95.95,-0.885,54.59,,,,
Cutter,1,FC,2023-09-09,0,92.4,-1.36,54.48,,,,
Cutter,7,FC,2023-09-12,0,91.05714285714284,-1.147142857142857,54.34571428571428,,,,
4-Seam Fastball,5,FF,2023-09-12,0,95.58,-0.9319999999999998,54.44199999999999,,,,
Sinker,1,SI,2023-09-12,0,94.7,-1.14,54.54,,,,
Changeup,2,CH,2023-09-12,0,89.65,-1.16,54.32,,,,
Sinker,8,SI,2023-09-13,0,94.63750000000002,-1.1525,54.4425,,,,
Cutter,3,FC,2023-09-13,0,91.46666666666664,-1.28,54.51,,,,
4-Seam Fastball,3,FF,2023-09-13,0,95.86666666666667,-1.0233333333333332,54.59666666666666,,,,
Changeup,1,CH,2023-09-13,0,89.9,-1.1,54.47,,,,
Cutter,7,FC,2023-09-16,0,91.92857142857144,-1.1257142857142857,54.38857142857143,,,,
Sinker,8,SI,2023-09-16,0,94.4625,-1.1175000000000002,54.43625,,,,
4-Seam Fastball,7,FF,2023-09-16,0,96.07142857142856,-0.9228571428571428,54.4842857142857,,,,
Changeup,2,CH,2023-09-16,0,90.6,-1.09,54.485,,,,
Slider,3,SL,2023-09-16,0,83.33333333333333,-1.2133333333333334,54.51333333333333,,,,
Sinker,7,SI,2023-09-19,0,94.0,-1.23,54.471428571428575,,,,
4-Seam Fastball,11,FF,2023-09-19,0,95.52727272727272,-1.1154545454545457,54.39000000000001,,,,
Cutter,5,FC,2023-09-19,0,91.64,-1.324,54.482000000000006,,,,
Slider,2,SL,2023-09-19,0,83.35,-1.37,54.44,,,,
Sinker,12,SI,2023-09-22,0,95.73333333333332,-0.9816666666666666,54.38166666666667,,,,
4-Seam Fastball,9,FF,2023-09-22,0,96.82222222222224,-0.7977777777777777,54.337777777777774,,,,
Cutter,3,FC,2023-09-22,0,92.63333333333333,-1.0066666666666666,54.48333333333333,,,,
Slider,2,SL,2023-09-22,0,84.5,-0.985,54.475,,,,
Sinker,13,SI,2023-09-27,0,93.66923076923078,-1.241538461538462,54.25230769230769,,,,
Cutter,4,FC,2023-09-27,0,92.025,-1.2025,54.1875,,,,
Slider,4,SL,2023-09-27,0,83.5,-1.305,54.3225,,,,
4-Seam Fastball,2,FF,2023-09-27,0,95.7,-0.975,54.255,,,,
Changeup,1,CH,2023-09-27,0,93.2,-1.37,54.39,,,,
