pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
Split-Finger,5,FS,2022-04-11,0,83.86,-1.234,54.45,,,,
4-Seam Fastball,10,FF,2022-04-11,0,89.99999999999999,-1.118,54.44199999999999,,,,
Sweeper,22,ST,2022-04-11,0,79.01363636363637,-1.2377272727272728,54.51636363636363,,,,
Sinker,10,SI,2022-04-11,0,90.75,-1.2399999999999998,54.463,,,,
Cutter,16,FC,2022-04-11,0,84.51875000000001,-1.0725,54.55375,,,,
Curveball,10,CU,2022-04-11,0,74.78999999999999,-0.962,54.58299999999999,,,,
Slider,1,SL,2022-04-11,0,80.4,-1.29,54.58,,,,
Curveball,18,CU,2022-04-17,0,75.06666666666666,-1.0083333333333335,54.568333333333335,,,,
Split-Finger,8,FS,2022-04-17,0,84.62499999999999,-1.3425000000000002,54.60499999999999,,,,
Cutter,21,FC,2022-04-17,0,85.34285714285714,-1.1328571428571428,54.69428571428571,,,,
Sinker,12,SI,2022-04-17,0,89.47500000000001,-1.2983333333333331,54.55166666666668,,,,
4-Seam Fastball,13,FF,2022-04-17,0,89.58461538461539,-1.1753846153846157,54.57307692307692,,,,
Sweeper,2,ST,2022-04-17,0,78.75,-1.3450000000000002,54.605,,,,
Cutter,25,FC,2022-04-24,0,86.4,-1.0916,54.5672,,,,
Curveball,8,CU,2022-04-24,0,75.72500000000001,-0.965,54.545,,,,
Split-Finger,7,FS,2022-04-24,0,86.24285714285715,-1.2885714285714285,54.45142857142857,,,,
4-Seam Fastball,11,FF,2022-04-24,0,90.65454545454544,-1.1890909090909092,54.5190909090909,,,,
Sinker,10,SI,2022-04-24,0,90.89,-1.292,54.53700000000001,,,,
Cutter,28,FC,2022-04-29,0,86.21785714285714,-1.094642857142857,54.50392857142858,,,,
4-Seam Fastball,18,FF,2022-04-29,0,90.28333333333336,-1.1366666666666667,54.48611111111112,,,,
Curveball,18,CU,2022-04-29,0,75.88333333333334,-0.9433333333333334,54.44888888888888,,,,
Split-Finger,8,FS,2022-04-29,0,86.1375,-1.26875,54.4275,,,,
Sinker,10,SI,2022-04-29,0,90.43,-1.262,54.47399999999999,,,,
Cutter,29,FC,2022-05-05,0,86.53793103448274,-1.0020689655172417,54.73275862068967,,,,
Curveball,32,CU,2022-05-05,0,76.13749999999999,-0.8334375,54.66781250000001,,,,
Sinker,15,SI,2022-05-05,0,90.79333333333334,-1.1213333333333333,54.64,,,,
Slider,4,SL,2022-05-05,0,81.6,-0.9675,54.58,,,,
Split-Finger,9,FS,2022-05-05,0,85.44444444444446,-1.141111111111111,54.60111111111111,,,,
4-Seam Fastball,10,FF,2022-05-05,0,91.06,-1.066,54.71500000000001,,,,
