pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
Cutter,34,FC,2022-04-10,0,87.37647058823529,-1.3314705882352935,54.19029411764706,,,,
Changeup,6,CH,2022-04-10,0,83.65,-1.268333333333333,54.06,,,,
Sinker,31,SI,2022-04-10,0,92.67096774193548,-1.1312903225806452,54.07903225806452,,,,
4-Seam Fastball,2,FF,2022-04-10,0,92.8,-1.2400000000000002,54.155,,,,
Curveball,3,CU,2022-04-10,0,79.0,-1.15,54.28666666666667,,,,
Cutter,34,FC,2022-04-16,0,86.6058823529412,-1.4641176470588235,54.1714705882353,,,,
Sinker,44,SI,2022-04-16,0,92.75909090909089,-1.2713636363636367,54.05590909090909,,,,
4-Seam Fastball,3,FF,2022-04-16,0,92.2,-1.32,54.10999999999999,,,,
Changeup,7,CH,2022-04-16,0,84.57142857142857,-1.4842857142857144,54.02857142857143,,,,
Curveball,3,CU,2022-04-16,0,80.60000000000001,-1.2700000000000002,54.17333333333334,,,,
Changeup,9,CH,2022-04-23,0,83.45555555555556,-1.413333333333333,54.27333333333333,,,,
Sinker,33,SI,2022-04-23,0,92.60303030303032,-1.1727272727272726,54.20121212121212,,,,
Cutter,40,FC,2022-04-23,0,85.81499999999997,-1.3710000000000002,54.41975000000001,,,,
Curveball,3,CU,2022-04-23,0,80.49999999999999,-1.1900000000000002,54.34666666666667,,,,
4-Seam Fastball,5,FF,2022-04-23,0,92.46,-1.092,54.264,,,,
Sinker,53,SI,2022-04-28,0,91.65660377358488,-0.9016981132075474,54.03301886792455,,,,
Cutter,37,FC,2022-04-28,0,87.1135135135135,-1.1721621621621623,54.1527027027027,,,,
Changeup,7,CH,2022-04-28,0,83.38571428571427,-1.1057142857142856,53.98428571428571,,,,
4-Seam Fastball,1,FF,2022-04-28,0,90.9,-0.78,54.18,,,,
