pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
Slider,6,SL,2023-06-14,0,86.85000000000001,-2.2383333333333337,54.38666666666668,,,,
Sweeper,12,ST,2023-06-14,0,83.49166666666669,-2.3175,54.09000000000001,,,,
4-Seam Fastball,13,FF,2023-06-14,0,95.29999999999998,-2.3546153846153848,54.18307692307691,,,,
Split-Finger,1,FS,2023-06-14,0,86.9,-2.2,54.55,,,,
4-Seam Fastball,10,FF,2023-06-16,0,94.98,-2.322,53.634,,,,
Slider,6,SL,2023-06-16,0,87.13333333333334,-2.3400000000000003,54.176666666666655,,,,
Sweeper,8,ST,2023-06-16,0,84.0375,-2.29125,53.9825,,,,
Sweeper,6,ST,2023-06-18,0,83.83333333333333,-2.186666666666667,54.150000000000006,,,,
4-Seam Fastball,9,FF,2023-06-18,0,95.31111111111112,-2.1822222222222223,53.88777777777778,,,,
Sinker,1,SI,2023-06-18,0,91.9,-2.18,54.16,,,,
Slider,7,SL,2023-06-18,0,87.67142857142856,-2.204285714285714,54.12142857142857,,,,
Slider,7,SL,2023-06-21,0,88.01428571428572,-2.19,54.28142857142857,,,,
4-Seam Fastball,8,FF,2023-06-21,0,95.3,-2.23375,54.21124999999999,,,,
Sweeper,5,ST,2023-06-21,0,83.67999999999999,-2.214,54.424,,,,
4-Seam Fastball,5,FF,2023-06-23,0,95.72,-2.356,54.094,,,,
Slider,5,SL,2023-06-23,0,87.44000000000001,-2.3120000000000003,54.23199999999999,,,,
Sweeper,6,ST,2023-06-23,0,84.2,-2.2433333333333336,54.305,,,,
Sinker,2,SI,2023-06-23,0,92.65,-2.2,54.21,,,,
Slider,8,SL,2023-06-25,0,85.96249999999999,-2.1275000000000004,54.16125,,,,
4-Seam Fastball,8,FF,2023-06-25,0,94.775,-2.18625,54.055,,,,
Split-Finger,1,FS,2023-06-25,0,86.8,-2.01,53.81,,,,
Sinker,1,SI,2023-06-25,0,93.3,-2.11,53.94,,,,
Sweeper,1,ST,2023-06-25,0,82.5,-2.07,54.32,,,,
Sweeper,15,ST,2023-06-27,0,83.37333333333332,-2.1940000000000004,53.92333333333333,,,,
4-Seam Fastball,10,FF,2023-06-27,0,94.43,-2.2510000000000003,53.85799999999999,,,,
Sinker,6,SI,2023-06-27,0,93.1,-2.111666666666667,53.70166666666668,,,,
Slider,9,SL,2023-06-27,0,86.97777777777777,-2.1500000000000004,53.93444444444445,,,,
4-Seam Fastball,13,FF,2023-07-01,0,95.4,-2.333846153846153,53.23923076923077,,,,
Slider,1,SL,2023-07-01,0,86.0,-2.28,53.11,,,,
Sweeper,12,ST,2023-07-01,0,83.28333333333332,-2.2583333333333333,53.37166666666666,,,,
Sinker,3,SI,2023-07-02,0,92.96666666666664,-2.22,54.00333333333333,,,,
Sweeper,2,ST,2023-07-02,0,83.15,-2.28,54.235,,,,
4-Seam Fastball,7,FF,2023-07-02,0,93.97142857142858,-2.3814285714285712,54.28285714285715,,,,
Slider,5,SL,2023-07-02,0,86.67999999999999,-2.254,54.24400000000001,,,,
Slider,7,SL,2023-07-06,0,86.37142857142858,-2.1028571428571428,53.92,,,,
4-Seam Fastball,4,FF,2023-07-06,0,94.1,-2.225,54.0825,,,,
Sweeper,3,ST,2023-07-06,0,81.73333333333333,-2.1666666666666665,54.34333333333333,,,,
Split-Finger,1,FS,2023-07-06,0,85.8,-2.08,54.11,,,,
Sinker,5,SI,2023-07-07,0,92.84,-2.16,53.904,,,,
4-Seam Fastball,2,FF,2023-07-07,0,93.7,-2.2350000000000003,53.97,,,,
Sweeper,2,ST,2023-07-07,0,83.9,-2.17,54.14,,,,
4-Seam Fastball,5,FF,2023-07-15,0,96.22,-2.088,54.052,,,,
Slider,9,SL,2023-07-15,0,85.53333333333335,-2.025555555555556,54.20111111111111,,,,
Split-Finger,2,FS,2023-07-15,0,88.25,-1.985,54.04,,,,
Sweeper,1,ST,2023-07-15,0,83.8,-1.98,54.31,,,,
Slider,3,SL,2023-07-17,0,87.10000000000001,-2.1,54.1,,,,
4-Seam Fastball,3,FF,2023-07-17,0,95.26666666666668,-2.2066666666666666,53.96,,,,
Sweeper,2,ST,2023-07-17,0,83.6,-2.075,54.22,,,,
Slider,6,SL,2023-07-18,0,87.21666666666668,-2.1183333333333336,54.28,,,,
Sinker,5,SI,2023-07-18,0,93.6,-2.082,54.14000000000001,,,,
Sweeper,3,ST,2023-07-18,0,84.03333333333335,-2.0966666666666667,54.126666666666665,,,,
4-Seam Fastball,3,FF,2023-07-18,0,94.8,-2.2033333333333336,54.28333333333333,,,,
Sweeper,5,ST,2023-07-21,0,83.4,-2.064,54.176,,,,
Slider,4,SL,2023-07-21,0,87.375,-2.09,54.11,,,,
Sinker,3,SI,2023-07-21,0,93.4,-2.106666666666667,54.03333333333333,,,,
4-Seam Fastball,1,FF,2023-07-21,0,94.7,-2.09,54.03,,,,
4-Seam Fastball,12,FF,2023-07-22,0,94.25,-2.16,54.03833333333333,,,,
Sweeper,13,ST,2023-07-22,0,83.64615384615384,-2.096923076923077,54.23846153846154,,,,
Sinker,2,SI,2023-07-22,0,94.05,-2.1,54.165,,,,
Slider,9,SL,2023-07-22,0,87.44444444444443,-2.1355555555555554,54.15222222222222,,,,
,15,,2023-07-25,0,,,,,,,
Sweeper,12,ST,2023-07-27,0,82.825,-2.1083333333333334,54.1275,,,,
4-Seam Fastball,7,FF,2023-07-27,0,94.75714285714284,-2.274285714285714,53.97571428571428,,,,
Slider,9,SL,2023-07-27,0,86.5111111111111,-2.135555555555556,54.142222222222216,,,,
Sinker,3,SI,2023-07-27,0,92.43333333333334,-2.1333333333333333,53.98333333333333,,,,
Sweeper,12,ST,2023-07-27,0,82.825,-2.1083333333333334,54.1275,,,,
4-Seam Fastball,7,FF,2023-07-27,0,94.75714285714284,-2.274285714285714,53.97571428571428,,,,
Slider,9,SL,2023-07-27,0,86.5111111111111,-2.135555555555556,54.142222222222216,,,,
Sinker,3,SI,2023-07-27,0,92.43333333333334,-2.1333333333333333,53.98333333333333,,,,
Sinker,10,SI,2023-07-30,0,93.17999999999998,-2.2,53.9,,,,
Slider,9,SL,2023-07-30,0,87.37777777777778,-2.188888888888889,53.964444444444446,,,,
Sweeper,4,ST,2023-07-30,0,83.17500000000001,-2.16,54.14000000000001,,,,
4-Seam Fastball,8,FF,2023-08-04,0,93.61249999999998,-2.14,54.12625,,,,
Sweeper,7,ST,2023-08-04,0,82.3,-2.021428571428572,54.28714285714285,,,,
Slider,1,SL,2023-08-04,0,86.8,-2.08,54.21,,,,
Sinker,1,SI,2023-08-04,0,90.9,-1.9,54.24,,,,
Sweeper,14,ST,2023-08-06,0,82.42857142857143,-2.062857142857143,54.22285714285714,,,,
4-Seam Fastball,10,FF,2023-08-06,0,93.84,-2.16,54.013,,,,
Sinker,2,SI,2023-08-06,0,92.3,-2.055,54.005,,,,
Slider,7,SL,2023-08-09,0,86.24285714285715,-2.062857142857143,54.02571428571429,,,,
Sweeper,4,ST,2023-08-09,0,83.375,-2.0325,54.085,,,,
4-Seam Fastball,4,FF,2023-08-09,0,94.925,-2.08,53.9175,,,,
Sweeper,4,ST,2023-08-11,0,82.325,-2.0775,54.17,,,,
Slider,2,SL,2023-08-11,0,86.69999999999999,-2.145,54.045,,,,
4-Seam Fastball,6,FF,2023-08-11,0,93.81666666666668,-2.1866666666666665,53.88166666666667,,,,
Sinker,1,SI,2023-08-11,0,91.4,-1.99,53.87,,,,
