pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
4-Seam Fastball,14,FF,2022-04-08,0,90.9,1.5442857142857147,53.86785714285714,,,,
Knuckle Curve,18,KC,2022-04-08,0,82.24444444444443,1.828888888888889,53.96333333333334,,,,
Slider,16,SL,2022-04-08,0,86.4375,1.94375,53.98875,,,,
Sinker,17,SI,2022-04-08,0,90.87647058823528,1.8811764705882352,53.91411764705884,,,,
Changeup,9,CH,2022-04-08,0,86.74444444444444,1.8533333333333333,54.04333333333334,,,,
Changeup,23,CH,2022-04-14,0,85.56521739130434,1.975652173913044,54.04043478260869,,,,
Slider,16,SL,2022-04-14,0,83.91875,2.11875,53.961875,,,,
4-Seam Fastball,12,FF,2022-04-14,0,90.38333333333333,1.725833333333333,53.85333333333333,,,,
Knuckle Curve,20,KC,2022-04-14,0,79.99,1.9495,54.04450000000001,,,,
Sinker,2,SI,2022-04-14,0,88.5,2.03,53.98,,,,
Knuckle Curve,15,KC,2022-04-19,0,81.45333333333332,1.780666666666667,54.00133333333334,,,,
Slider,15,SL,2022-04-19,0,85.1,2.008666666666667,53.95066666666666,,,,
Sinker,13,SI,2022-04-19,0,91.37692307692306,1.8792307692307693,53.955384615384624,,,,
Changeup,16,CH,2022-04-19,0,85.92500000000001,1.7381249999999997,54.02062500000001,,,,
4-Seam Fastball,28,FF,2022-04-19,0,91.3964285714286,1.5535714285714284,53.8625,,,,
Slider,33,SL,2022-04-25,0,84.97878787878787,1.836060606060606,53.87424242424243,,,,
Knuckle Curve,20,KC,2022-04-25,0,80.83000000000001,1.6920000000000002,53.931,,,,
Sinker,19,SI,2022-04-25,0,90.52105263157895,1.7184210526315788,53.91947368421054,,,,
Changeup,15,CH,2022-04-25,0,85.05999999999999,1.7366666666666668,54.05533333333334,,,,
4-Seam Fastball,14,FF,2022-04-25,0,90.26428571428572,1.5607142857142855,53.865,,,,
Slider,20,SL,2022-05-01,0,84.83500000000001,1.8704999999999996,53.87850000000001,,,,
4-Seam Fastball,23,FF,2022-05-01,0,89.79565217391306,1.467826086956522,53.88434782608695,,,,
Changeup,11,CH,2022-05-01,0,83.63636363636364,1.6554545454545455,54.13545454545454,,,,
Knuckle Curve,16,KC,2022-05-01,0,80.13749999999999,1.78125,53.994375,,,,
Sinker,10,SI,2022-05-01,0,90.09,1.78,53.888,,,,
Sinker,24,SI,2022-05-07,0,89.36666666666667,1.935416666666666,53.87458333333334,,,,
Slider,19,SL,2022-05-07,0,84.77368421052631,1.85,53.822631578947366,,,,
Knuckle Curve,16,KC,2022-05-07,0,80.20625000000001,1.8175,53.8425,,,,
4-Seam Fastball,20,FF,2022-05-07,0,89.06499999999997,1.6085,53.7485,,,,
Changeup,10,CH,2022-05-07,0,84.53,1.8550000000000004,54.023,,,,
4-Seam Fastball,17,FF,2022-05-13,0,89.38823529411764,1.404705882352941,53.78882352941176,,,,
Knuckle Curve,16,KC,2022-05-13,0,78.53125,1.791875,53.989375,,,,
