pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
Slider,11,SL,2022-04-08,0,79.61818181818182,3.5345454545454547,54.307272727272725,,,,
4-Seam Fastball,21,FF,2022-04-08,0,88.65238095238095,3.645714285714285,54.31952380952381,,,,
Changeup,18,CH,2022-04-08,0,84.42777777777776,3.590555555555556,54.32722222222223,,,,
Sinker,8,SI,2022-04-08,0,88.55,3.56,54.2925,,,,
4-Seam Fastball,14,FF,2022-04-14,0,89.24285714285713,3.6407142857142856,54.45928571428571,,,,
Slider,20,SL,2022-04-14,0,80.23,3.589000000000001,54.39849999999999,,,,
Changeup,26,CH,2022-04-14,0,83.33846153846154,3.698846153846154,54.59115384615385,,,,
Sinker,15,SI,2022-04-14,0,89.04000000000002,3.654666666666667,54.43933333333334,,,,
Sinker,28,SI,2022-04-19,0,88.91071428571426,3.5242857142857145,54.22892857142858,,,,
Changeup,30,CH,2022-04-19,0,82.87333333333335,3.6053333333333337,54.200666666666656,,,,
Slider,14,SL,2022-04-19,0,81.36428571428573,3.500714285714285,54.10785714285715,,,,
4-Seam Fastball,14,FF,2022-04-19,0,89.57142857142857,3.4871428571428567,54.21928571428571,,,,
4-Seam Fastball,8,FF,2022-04-26,0,90.175,3.4425,54.21875,,,,
Sinker,20,SI,2022-04-26,0,89.65,3.512,54.15,,,,
Changeup,24,CH,2022-04-26,0,84.15,3.56,54.195,,,,
Slider,10,SL,2022-04-26,0,81.69000000000001,3.4300000000000006,54.21,,,,
Sinker,14,SI,2022-05-01,0,89.5642857142857,3.34,54.326428571428565,,,,
4-Seam Fastball,7,FF,2022-05-01,0,90.1,3.318571428571428,54.33,,,,
Changeup,18,CH,2022-05-01,0,84.02777777777777,3.4177777777777774,54.34055555555557,,,,
Slider,4,SL,2022-05-01,0,84.125,3.3925,54.275,,,,
4-Seam Fastball,7,FF,2022-06-13,0,92.57142857142856,3.257142857142857,54.27857142857143,,,,
Slider,11,SL,2022-06-13,0,83.50000000000001,3.209090909090909,54.2590909090909,,,,
Changeup,1,CH,2022-06-13,0,87.6,3.25,54.4,,,,
Sinker,1,SI,2022-06-13,0,91.6,3.23,54.11,,,,
Changeup,4,CH,2022-06-15,0,88.45,3.3725,54.35249999999999,,,,
Sinker,1,SI,2022-06-15,0,92.7,3.38,54.23,,,,
Slider,3,SL,2022-06-15,0,81.53333333333333,3.31,54.23333333333333,,,,
Slider,10,SL,2022-06-18,0,84.19000000000001,3.274,54.01300000000001,,,,
Sinker,8,SI,2022-06-18,0,92.4,3.2725000000000004,54.085,,,,
Changeup,7,CH,2022-06-18,0,87.45714285714284,3.295714285714286,53.971428571428575,,,,
4-Seam Fastball,3,FF,2022-06-18,0,93.66666666666669,3.123333333333333,54.3,,,,
Sinker,7,SI,2022-06-21,0,91.44285714285716,3.272857142857144,54.22714285714285,,,,
Changeup,8,CH,2022-06-21,0,86.0,3.38,54.03875000000001,,,,
Slider,6,SL,2022-06-21,0,83.36666666666667,3.306666666666666,53.96,,,,
4-Seam Fastball,3,FF,2022-06-21,0,91.33333333333331,3.3200000000000003,54.26333333333333,,,,
Slider,4,SL,2022-06-26,0,82.475,3.2325,54.1375,,,,
4-Seam Fastball,7,FF,2022-06-26,0,92.42857142857144,3.21,54.191428571428574,,,,
Sinker,4,SI,2022-06-26,0,91.275,3.2275,54.1075,,,,
Changeup,2,CH,2022-06-26,0,86.1,3.43,54.175,,,,
Changeup,16,CH,2022-06-30,0,86.63125000000001,3.5512500000000005,54.2025,,,,
4-Seam Fastball,5,FF,2022-06-30,0,92.5,3.528,54.30799999999999,,,,
Sinker,6,SI,2022-06-30,0,91.51666666666668,3.4883333333333333,54.20499999999999,,,,
Slider,10,SL,2022-06-30,0,80.03999999999999,3.5819999999999994,54.370000000000005,,,,
4-Seam Fastball,2,FF,2022-07-02,0,93.05,3.04,54.265,,,,
Changeup,5,CH,2022-07-02,0,85.92,3.3560000000000003,54.182,,,,
Sinker,2,SI,2022-07-02,0,91.7,3.245,54.005,,,,
Slider,1,SL,2022-07-02,0,82.3,3.28,54.05,,,,
4-Seam Fastball,5,FF,2022-07-04,0,92.18,3.4799999999999995,53.85,,,,
Slider,7,SL,2022-07-04,0,82.95714285714284,3.488571428571429,54.13714285714285,,,,
Changeup,4,CH,2022-07-04,0,86.45,3.5525,53.955,,,,
Sinker,2,SI,2022-07-04,0,91.9,3.4450000000000003,54.01,,,,
Slider,4,SL,2022-07-06,0,81.625,3.4375,54.1375,,,,
Sinker,1,SI,2022-07-06,0,92.2,3.31,54.17,,,,
4-Seam Fastball,9,FF,2022-07-06,0,90.23333333333332,3.558888888888889,54.190000000000005,,,,
Changeup,1,CH,2022-07-06,0,85.2,3.5,54.44,,,,
Sinker,6,SI,2022-07-07,0,91.36666666666666,3.34,54.24166666666667,,,,
Changeup,12,CH,2022-07-07,0,85.08333333333333,3.5058333333333334,54.20666666666667,,,,
Slider,11,SL,2022-07-07,0,83.14545454545454,3.420909090909092,54.124545454545455,,,,
4-Seam Fastball,4,FF,2022-07-07,0,91.125,3.465,54.2875,,,,
Changeup,9,CH,2022-07-12,0,85.78888888888889,3.27,54.29444444444445,,,,
Slider,2,SL,2022-07-12,0,78.35,3.24,54.525000000000006,,,,
4-Seam Fastball,4,FF,2022-07-12,0,91.2,3.1825,54.265,,,,
Sinker,2,SI,2022-07-12,0,91.4,3.255,54.27,,,,
4-Seam Fastball,5,FF,2022-07-14,0,92.66,3.264,54.08200000000001,,,,
Slider,14,SL,2022-07-14,0,82.42142857142856,3.3242857142857147,54.221428571428575,,,,
Changeup,7,CH,2022-07-14,0,86.75714285714287,3.4528571428571424,54.13571428571428,,,,
Sinker,1,SI,2022-07-14,0,91.9,3.24,54.33,,,,
Sinker,3,SI,2022-07-16,0,91.43333333333334,3.44,54.01666666666667,,,,
Changeup,4,CH,2022-07-16,0,84.75,3.635,54.2725,,,,
Slider,2,SL,2022-07-16,0,80.65,3.5,54.2,,,,
4-Seam Fastball,4,FF,2022-07-16,0,90.15,3.5825,54.1675,,,,
4-Seam Fastball,2,FF,2022-07-22,0,91.85,3.47,54.075,,,,
Slider,4,SL,2022-07-22,0,82.30000000000001,3.485,54.015,,,,
Changeup,8,CH,2022-07-24,0,86.65,3.4387500000000006,54.07875,,,,
4-Seam Fastball,4,FF,2022-07-24,0,92.625,3.3575,54.095,,,,
Sinker,5,SI,2022-07-24,0,91.4,3.318,54.02,,,,
Slider,4,SL,2022-07-24,0,82.725,3.3625,54.145,,,,
Slider,6,SL,2022-07-29,0,83.03333333333333,3.4766666666666666,54.00666666666667,,,,
Sinker,3,SI,2022-07-29,0,92.73333333333332,3.3633333333333333,53.94,,,,
4-Seam Fastball,1,FF,2022-07-29,0,93.4,3.37,54.14,,,,
Changeup,5,CH,2022-07-29,0,86.52000000000001,3.568,54.14399999999999,,,,
Sinker,3,SI,2022-07-30,0,91.63333333333333,3.3799999999999994,54.16,,,,
Changeup,5,CH,2022-07-30,0,85.52000000000001,3.5380000000000003,54.056,,,,
Slider,3,SL,2022-07-30,0,81.26666666666667,3.4600000000000004,54.25,,,,
4-Seam Fastball,1,FF,2022-07-30,0,90.8,3.43,54.25,,,,
Sinker,4,SI,2022-08-01,0,90.25,3.3275,53.595,,,,
4-Seam Fastball,1,FF,2022-08-01,0,92.5,3.37,53.85,,,,
Changeup,4,CH,2022-08-01,0,85.625,3.57,54.32749999999999,,,,
Slider,3,SL,2022-08-01,0,82.3,3.483333333333334,54.16666666666666,,,,
Changeup,2,CH,2022-08-05,0,86.19999999999999,3.4850000000000003,54.35,,,,
Slider,4,SL,2022-08-05,0,81.125,3.45,54.2525,,,,
Sinker,1,SI,2022-08-05,0,89.1,3.68,54.34,,,,
Slider,2,SL,2022-08-06,0,83.19999999999999,3.42,54.385,,,,
Sinker,2,SI,2022-08-06,0,92.1,3.4450000000000003,54.505,,,,
Sinker,1,SI,2022-08-07,0,93.0,3.19,54.21,,,,
Slider,2,SL,2022-08-07,0,82.15,3.33,54.16,,,,
Changeup,6,CH,2022-08-10,0,87.25,3.5316666666666663,54.10333333333333,,,,
Sinker,5,SI,2022-08-10,0,91.9,3.466,54.184000000000005,,,,
Slider,10,SL,2022-08-10,0,82.44000000000001,3.4120000000000004,54.228,,,,
4-Seam Fastball,2,FF,2022-08-10,0,91.95,3.51,54.345,,,,
Changeup,5,CH,2022-08-14,0,86.16000000000001,3.666,54.132000000000005,,,,
Sinker,4,SI,2022-08-14,0,90.525,3.605,54.13,,,,
Slider,2,SL,2022-08-14,0,81.9,3.615,54.13,,,,
Changeup,13,CH,2022-08-16,0,86.33076923076925,3.3453846153846154,53.96,,,,
Sinker,7,SI,2022-08-16,0,90.64285714285714,3.2628571428571425,54.04,,,,
Slider,14,SL,2022-08-16,0,83.08571428571427,3.241428571428571,53.92714285714286,,,,
4-Seam Fastball,5,FF,2022-08-16,0,92.93999999999998,3.246,54.05999999999999,,,,
Sinker,2,SI,2022-08-19,0,91.35,3.495,54.1,,,,
Changeup,4,CH,2022-08-19,0,86.525,3.575,54.285,,,,
Slider,5,SL,2022-08-19,0,82.1,3.472,54.25,,,,
4-Seam Fastball,4,FF,2022-08-21,0,92.25,3.3275,54.1575,,,,
Slider,2,SL,2022-08-21,0,83.15,3.355,54.27,,,,
Sinker,8,SI,2022-08-24,0,91.15,3.2425000000000006,54.3,,,,
4-Seam Fastball,4,FF,2022-08-24,0,91.7,3.35,54.28,,,,
Changeup,5,CH,2022-08-24,0,85.97999999999999,3.28,54.306,,,,
Slider,4,SL,2022-08-24,0,82.85,3.345,54.265,,,,
Changeup,6,CH,2022-08-29,0,86.16666666666667,3.503333333333334,53.88999999999999,,,,
Sinker,3,SI,2022-08-29,0,89.83333333333333,3.456666666666667,54.02333333333333,,,,
Slider,8,SL,2022-08-29,0,82.225,3.4875000000000003,53.88625,,,,
4-Seam Fastball,11,FF,2022-08-29,0,90.6818181818182,3.541818181818182,53.96545454545455,,,,
Changeup,13,CH,2022-08-31,0,86.23076923076923,3.292307692307693,54.09923076923077,,,,
Slider,9,SL,2022-08-31,0,83.02222222222223,3.2477777777777783,54.05777777777777,,,,
Sinker,5,SI,2022-08-31,0,92.36,3.228,54.252,,,,
4-Seam Fastball,7,FF,2022-08-31,0,92.44285714285716,3.141428571428572,54.07428571428572,,,,
Changeup,6,CH,2022-09-06,0,86.43333333333334,3.405,54.245000000000005,,,,
4-Seam Fastball,2,FF,2022-09-06,0,92.75,3.255,54.2,,,,
Sinker,3,SI,2022-09-06,0,90.96666666666664,3.4133333333333336,54.16,,,,
Slider,4,SL,2022-09-06,0,81.675,3.43,54.2425,,,,
4-Seam Fastball,5,FF,2022-09-10,0,91.74,3.242,54.184000000000005,,,,
Slider,6,SL,2022-09-10,0,81.98333333333333,3.228333333333334,54.248333333333335,,,,
Sinker,2,SI,2022-09-10,0,92.15,3.1950000000000003,54.195,,,,
Changeup,4,CH,2022-09-10,0,86.4,3.31,54.22,,,,
Sinker,5,SI,2022-09-13,0,90.48,3.432,54.178,,,,
Changeup,10,CH,2022-09-13,0,85.41,3.4519999999999995,54.133,,,,
4-Seam Fastball,9,FF,2022-09-13,0,91.48888888888888,3.5011111111111117,54.18111111111111,,,,
Slider,8,SL,2022-09-13,0,82.0375,3.46875,54.07,,,,
Sinker,7,SI,2022-09-16,0,90.24285714285712,3.475714285714286,54.1857142857143,,,,
Slider,7,SL,2022-09-16,0,81.7,3.4128571428571437,54.21,,,,
Changeup,6,CH,2022-09-16,0,84.60000000000001,3.4500000000000006,54.11166666666666,,,,
4-Seam Fastball,1,FF,2022-09-16,0,91.1,3.41,54.26,,,,
Changeup,8,CH,2022-09-17,0,86.41250000000001,3.1175,54.2025,,,,
Slider,4,SL,2022-09-17,0,82.45,3.1475,54.07,,,,
Sinker,4,SI,2022-09-17,0,91.75,3.155,54.3,,,,
4-Seam Fastball,1,FF,2022-09-17,0,91.7,3.28,54.14,,,,
Changeup,3,CH,2022-09-20,0,87.13333333333333,3.41,54.25333333333333,,,,
Slider,1,SL,2022-09-20,0,81.5,3.54,53.92,,,,
Slider,3,SL,2022-09-21,0,81.10000000000001,3.19,53.946666666666665,,,,
Sinker,2,SI,2022-09-21,0,91.25,3.46,54.055,,,,
4-Seam Fastball,4,FF,2022-09-21,0,91.625,3.3,53.875,,,,
Changeup,2,CH,2022-09-21,0,84.6,3.345,53.885000000000005,,,,
Slider,6,SL,2022-09-26,0,81.3,3.56,53.943333333333335,,,,
Sinker,4,SI,2022-09-26,0,89.875,3.6325,54.03,,,,
4-Seam Fastball,1,FF,2022-09-26,0,91.5,3.43,54.21,,,,
Changeup,1,CH,2022-09-26,0,85.3,3.67,53.81,,,,
Sinker,4,SI,2022-09-28,0,90.925,3.3225,54.17999999999999,,,,
Slider,5,SL,2022-09-28,0,79.85999999999999,3.364,54.216,,,,
4-Seam Fastball,2,FF,2022-09-28,0,90.65,3.37,54.13,,,,
4-Seam Fastball,7,FF,2022-10-02,0,89.71428571428571,3.37,54.09857142857143,,,,
Changeup,8,CH,2022-10-02,0,83.925,3.3200000000000003,54.13375,,,,
Sinker,10,SI,2022-10-02,0,90.04,3.3870000000000005,54.066,,,,
Slider,4,SL,2022-10-02,0,81.275,3.3825,54.0175,,,,
Changeup,11,CH,2022-10-05,0,83.8,3.328181818181818,54.037272727272736,,,,
Sinker,5,SI,2022-10-05,0,90.12,3.336,54.142,,,,
4-Seam Fastball,1,FF,2022-10-05,0,92.4,2.99,54.13,,,,
Slider,1,SL,2022-10-05,0,78.8,3.35,54.34,,,,
Slider,1,SL,2023-04-01,1,76.8,3.5,53.96,,,,
Changeup,2,CH,2023-04-01,1,86.0,3.4400000000000004,54.14,,,,
Changeup,6,CH,2023-04-03,1,84.75,3.438333333333333,54.153333333333336,,,,
Sinker,2,SI,2023-04-03,1,89.05,3.3200000000000003,54.14,,,,
Slider,3,SL,2023-04-03,1,81.43333333333332,3.2266666666666666,54.120000000000005,,,,
Slider,3,SL,2023-04-04,1,81.03333333333333,3.53,53.926666666666655,,,,
Changeup,6,CH,2023-04-04,1,84.63333333333333,3.7083333333333335,53.998333333333335,,,,
Sinker,2,SI,2023-04-04,1,89.75,3.735,54.105,,,,
4-Seam Fastball,2,FF,2023-04-04,1,90.4,3.74,54.22,,,,
Sinker,9,SI,2023-04-07,1,89.31111111111112,3.474444444444445,54.08222222222222,,,,
Changeup,11,CH,2023-04-07,1,84.76363636363635,3.475454545454545,54.03636363636363,,,,
Slider,6,SL,2023-04-07,1,79.08333333333333,3.393333333333333,54.063333333333325,,,,
4-Seam Fastball,1,FF,2023-04-07,1,90.4,3.4,54.02,,,,
Sinker,9,SI,2023-04-07,1,89.31111111111112,3.474444444444445,54.08222222222222,,,,
Changeup,11,CH,2023-04-07,1,84.76363636363635,3.475454545454545,54.03636363636363,,,,
Slider,6,SL,2023-04-07,1,79.08333333333333,3.393333333333333,54.063333333333325,,,,
4-Seam Fastball,1,FF,2023-04-07,1,90.4,3.4,54.02,,,,
Changeup,17,CH,2023-04-10,1,85.87058823529412,3.348823529411764,53.91882352941175,,,,
Sinker,7,SI,2023-04-10,1,90.47142857142858,3.39,53.95857142857143,,,,
Slider,2,SL,2023-04-10,1,82.65,3.205,53.79,,,,
4-Seam Fastball,6,FF,2023-04-10,1,91.11666666666666,3.365,54.18166666666667,,,,
Slider,7,SL,2023-04-14,1,80.20000000000002,3.268571428571428,54.19714285714286,,,,
Sinker,17,SI,2023-04-14,1,89.83529411764708,3.261764705882353,54.0264705882353,,,,
Changeup,10,CH,2023-04-14,1,84.48,3.306,53.976,,,,
4-Seam Fastball,4,FF,2023-04-14,1,90.525,3.1375,54.0825,,,,
4-Seam Fastball,10,FF,2023-04-16,1,89.68,3.316,54.111,,,,
Slider,9,SL,2023-04-16,1,80.06666666666668,3.3655555555555554,54.12777777777777,,,,
Sinker,7,SI,2023-04-16,1,89.0,3.307142857142857,54.08,,,,
Changeup,17,CH,2023-04-16,1,84.22941176470587,3.383529411764706,53.974117647058826,,,,
4-Seam Fastball,3,FF,2023-04-19,1,89.5,3.35,54.25333333333333,,,,
Changeup,5,CH,2023-04-19,1,83.6,3.506,54.102,,,,
Slider,2,SL,2023-04-19,1,81.1,3.435,54.305,,,,
Sinker,8,SI,2023-04-21,1,90.5,3.13375,54.1925,,,,
Changeup,5,CH,2023-04-21,1,84.56,3.16,54.122,,,,
Slider,2,SL,2023-04-21,1,80.25,3.025,54.07,,,,
Slider,2,SL,2023-04-23,1,78.75,3.35,54.085,,,,
