pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
Changeup,9,CH,2022-04-09,0,83.87777777777778,2.4466666666666668,54.428888888888885,,,,
Curveball,2,CU,2022-04-09,0,74.8,2.365,54.65,,,,
4-Seam Fastball,14,FF,2022-04-09,0,93.07857142857142,2.296428571428572,54.56142857142857,,,,
Slider,6,SL,2022-04-09,0,84.96666666666667,2.475,54.62166666666667,,,,
Slider,11,SL,2022-04-12,0,84.5,2.5027272727272725,54.67818181818182,,,,
Changeup,4,CH,2022-04-12,0,83.15,2.385,54.33,,,,
4-Seam Fastball,18,FF,2022-04-12,0,93.14444444444445,2.254444444444444,54.57000000000001,,,,
Curveball,2,CU,2022-04-12,0,75.5,2.39,54.385000000000005,,,,
4-Seam Fastball,13,FF,2022-04-18,0,93.73846153846156,2.264615384615385,54.524615384615394,,,,
Slider,9,SL,2022-04-18,0,86.14444444444445,2.421111111111111,54.60999999999999,,,,
Curveball,1,CU,2022-04-18,0,74.9,2.18,54.5,,,,
Changeup,2,CH,2022-04-18,0,83.30000000000001,2.365,54.305,,,,
4-Seam Fastball,14,FF,2022-04-21,0,92.99285714285712,2.1814285714285715,54.64,,,,
Slider,9,SL,2022-04-21,0,85.0,2.435555555555556,54.71333333333334,,,,
Changeup,2,CH,2022-04-21,0,83.4,2.325,54.515,,,,
4-Seam Fastball,16,FF,2022-04-24,0,92.74375,2.30375,54.55124999999999,,,,
Changeup,5,CH,2022-04-24,0,83.17999999999999,2.318,54.334,,,,
Slider,7,SL,2022-04-24,0,84.25714285714285,2.511428571428572,54.6342857142857,,,,
4-Seam Fastball,20,FF,2022-04-29,0,93.575,2.3325,54.593500000000006,,,,
Slider,15,SL,2022-04-29,0,83.71333333333334,2.4733333333333336,54.66,,,,
Changeup,2,CH,2022-04-29,0,83.2,2.515,54.395,,,,
4-Seam Fastball,21,FF,2022-05-03,0,93.29047619047618,2.3919047619047613,54.71761904761905,,,,
Slider,13,SL,2022-05-03,0,84.24615384615385,2.563076923076923,54.79692307692308,,,,
Changeup,11,CH,2022-05-03,0,83.40909090909092,2.42,54.56909090909091,,,,
4-Seam Fastball,10,FF,2022-05-08,0,92.74,2.508,54.763,,,,
Changeup,2,CH,2022-05-08,0,84.05000000000001,2.585,54.46,,,,
Slider,3,SL,2022-05-08,0,83.93333333333334,2.6466666666666665,54.870000000000005,,,,
4-Seam Fastball,10,FF,2022-05-08,0,92.74,2.508,54.763,,,,
Changeup,2,CH,2022-05-08,0,84.05000000000001,2.585,54.46,,,,
Slider,3,SL,2022-05-08,0,83.93333333333334,2.6466666666666665,54.870000000000005,,,,
4-Seam Fastball,28,FF,2022-05-12,0,93.46428571428574,2.487142857142857,54.57214285714286,,,,
Slider,9,SL,2022-05-12,0,84.87777777777778,2.5966666666666662,54.58777777777778,,,,
Changeup,12,CH,2022-05-12,0,84.35,2.4858333333333333,54.38416666666668,,,,
Slider,14,SL,2022-05-16,0,83.67142857142858,2.4878571428571425,54.64571428571429,,,,
4-Seam Fastball,25,FF,2022-05-16,0,93.028,2.3896,54.658,,,,
Changeup,19,CH,2022-05-16,0,84.16842105263159,2.3684210526315788,54.41684210526315,,,,
4-Seam Fastball,14,FF,2022-05-20,0,92.87857142857143,2.3642857142857143,54.67285714285715,,,,
Changeup,6,CH,2022-05-20,0,81.94999999999999,2.4833333333333334,54.633333333333326,,,,
Slider,13,SL,2022-05-20,0,84.64615384615385,2.527692307692308,54.68384615384616,,,,
4-Seam Fastball,22,FF,2022-05-24,0,93.82727272727271,2.259090909090909,54.53181818181818,,,,
Changeup,9,CH,2022-05-24,0,83.78888888888888,2.312222222222222,54.29111111111112,,,,
Slider,8,SL,2022-05-24,0,85.0,2.405,54.6225,,,,
4-Seam Fastball,21,FF,2022-05-28,0,93.37619047619046,2.333809523809524,54.636190476190485,,,,
Slider,16,SL,2022-05-28,0,84.98749999999998,2.4175,54.693125,,,,
Changeup,9,CH,2022-05-28,0,83.16666666666666,2.3344444444444443,54.39666666666668,,,,
4-Seam Fastball,11,FF,2022-06-01,0,93.8181818181818,2.2072727272727275,54.70909090909092,,,,
Slider,5,SL,2022-06-01,0,84.74000000000001,2.374,54.852,,,,
Changeup,2,CH,2022-06-01,0,84.95,2.3200000000000003,54.66,,,,
Slider,10,SL,2022-06-04,0,84.50000000000001,2.442,54.765,,,,
4-Seam Fastball,19,FF,2022-06-04,0,93.10526315789473,2.267368421052632,54.72210526315789,,,,
Changeup,6,CH,2022-06-04,0,83.58333333333333,2.338333333333333,54.501666666666665,,,,
Slider,6,SL,2022-06-12,0,85.43333333333334,2.5533333333333337,54.79333333333333,,,,
4-Seam Fastball,14,FF,2022-06-12,0,93.17857142857144,2.377857142857143,54.72642857142857,,,,
Changeup,7,CH,2022-06-12,0,84.22857142857141,2.388571428571429,54.45857142857143,,,,
4-Seam Fastball,16,FF,2022-06-18,0,92.725,2.21875,54.74937499999999,,,,
Slider,7,SL,2022-06-18,0,83.95714285714287,2.3642857142857143,54.82,,,,
Changeup,6,CH,2022-06-18,0,83.23333333333333,2.2583333333333333,54.61166666666667,,,,
4-Seam Fastball,20,FF,2022-06-21,0,93.395,2.273,54.642500000000005,,,,
Slider,9,SL,2022-06-21,0,84.42222222222222,2.3711111111111105,54.70222222222222,,,,
Changeup,7,CH,2022-06-21,0,84.0,2.252857142857143,54.42285714285715,,,,
4-Seam Fastball,27,FF,2022-06-27,0,92.84814814814814,2.261851851851852,54.53222222222224,,,,
Slider,12,SL,2022-06-27,0,84.30833333333332,2.355833333333333,54.58416666666667,,,,
Changeup,4,CH,2022-06-27,0,83.025,2.3,54.325,,,,
4-Seam Fastball,9,FF,2022-07-03,0,94.22222222222224,2.261111111111111,54.58333333333333,,,,
Slider,5,SL,2022-07-03,0,84.52000000000001,2.3920000000000003,54.708000000000006,,,,
Changeup,1,CH,2022-07-03,0,85.2,2.26,54.34,,,,
Slider,13,SL,2022-07-05,0,84.14615384615385,2.319230769230769,54.658461538461545,,,,
4-Seam Fastball,16,FF,2022-07-05,0,92.71875,2.114375,54.63437499999999,,,,
Changeup,7,CH,2022-07-05,0,83.35714285714286,2.177142857142857,54.42857142857143,,,,
4-Seam Fastball,15,FF,2022-07-08,0,93.85333333333332,2.183333333333333,54.63133333333335,,,,
Slider,7,SL,2022-07-08,0,84.28571428571429,2.3428571428571425,54.71857142857143,,,,
Changeup,2,CH,2022-07-08,0,86.35,2.1950000000000003,54.46,,,,
Slider,3,SL,2022-07-16,0,84.53333333333335,2.41,54.59666666666667,,,,
4-Seam Fastball,5,FF,2022-07-16,0,94.26,2.1820000000000004,54.522000000000006,,,,
