pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
4-Seam Fastball,45,FF,2022-04-29,0,94.12444444444444,-1.991555555555556,53.98888888888888,,,,
Curveball,9,CU,2022-04-29,0,80.94444444444444,-1.864444444444444,54.22444444444445,,,,
Slider,20,SL,2022-04-29,0,85.49499999999999,-1.9974999999999996,54.10950000000001,,,,
Changeup,7,CH,2022-04-29,0,89.32857142857142,-1.97,54.08714285714285,,,,
Slider,23,SL,2022-05-04,0,85.04347826086955,-2.1608695652173906,54.07739130434781,,,,
4-Seam Fastball,35,FF,2022-05-04,0,94.61714285714288,-2.1042857142857145,53.942,,,,
Curveball,9,CU,2022-05-04,0,81.01111111111112,-2.055555555555556,54.17555555555556,,,,
Changeup,3,CH,2022-05-04,0,88.06666666666666,-2.143333333333333,54.06,,,,
Slider,32,SL,2022-05-10,0,86.434375,-2.0428125,54.054687500000014,,,,
4-Seam Fastball,43,FF,2022-05-10,0,95.30697674418604,-1.9251162790697671,53.93604651162792,,,,
Changeup,8,CH,2022-05-10,0,90.175,-2.0225,54.08625000000001,,,,
Curveball,7,CU,2022-05-10,0,81.85714285714286,-1.8671428571428568,54.19,,,,
4-Seam Fastball,42,FF,2022-05-16,0,94.43333333333332,-2.0238095238095237,53.9104761904762,,,,
Slider,28,SL,2022-05-16,0,85.36071428571427,-2.1107142857142858,54.061785714285705,,,,
Curveball,5,CU,2022-05-16,0,81.34,-1.922,54.198,,,,
Changeup,9,CH,2022-05-16,0,89.76666666666668,-2.03,54.03111111111112,,,,
Slider,19,SL,2022-05-21,0,86.97894736842106,-2.114736842105263,54.00894736842105,,,,
4-Seam Fastball,51,FF,2022-05-21,0,94.88627450980393,-2.118235294117647,53.90313725490198,,,,
Changeup,14,CH,2022-05-21,0,88.92142857142858,-2.0564285714285715,54.07857142857143,,,,
Curveball,7,CU,2022-05-21,0,81.74285714285715,-2.0828571428571427,54.17428571428571,,,,
4-Seam Fastball,37,FF,2022-05-27,0,94.82162162162165,-2.1594594594594594,53.99891891891891,,,,
Curveball,8,CU,2022-05-27,0,83.0625,-2.045,54.0975,,,,
Slider,11,SL,2022-05-27,0,86.89090909090908,-2.204545454545455,53.98454545454546,,,,
Changeup,6,CH,2022-05-27,0,90.73333333333332,-2.09,53.998333333333335,,,,
4-Seam Fastball,47,FF,2022-06-01,0,96.06808510638297,-2.063404255319149,53.862978723404254,,,,
Slider,19,SL,2022-06-01,0,86.87894736842105,-2.1747368421052635,53.95368421052632,,,,
Changeup,5,CH,2022-06-01,0,90.18,-2.186,54.024,,,,
Curveball,9,CU,2022-06-01,0,83.25555555555556,-2.1166666666666667,54.07333333333334,,,,
Slider,23,SL,2022-06-07,0,85.75217391304349,-2.1,53.978695652173926,,,,
Changeup,24,CH,2022-06-07,0,89.26666666666667,-2.0045833333333336,53.96083333333335,,,,
4-Seam Fastball,51,FF,2022-06-07,0,94.43921568627448,-1.9047058823529408,53.82921568627451,,,,
Curveball,7,CU,2022-06-07,0,82.67142857142856,-2.047142857142857,54.05714285714286,,,,
Curveball,8,CU,2022-06-13,0,81.525,-1.66125,53.923750000000005,,,,
4-Seam Fastball,50,FF,2022-06-13,0,95.026,-1.7047999999999996,53.79020000000001,,,,
Changeup,12,CH,2022-06-13,0,90.0,-1.6708333333333332,53.85,,,,
Slider,20,SL,2022-06-13,0,86.335,-1.898,53.968,,,,
Curveball,12,CU,2022-06-18,0,82.11666666666666,-1.8191666666666664,53.958333333333336,,,,
Slider,21,SL,2022-06-18,0,85.07142857142858,-2.1019047619047617,54.05857142857143,,,,
4-Seam Fastball,34,FF,2022-06-18,0,94.2970588235294,-1.9500000000000004,53.88970588235293,,,,
Changeup,12,CH,2022-06-18,0,89.075,-1.9775,54.02583333333335,,,,
Slider,25,SL,2022-07-29,0,87.28399999999998,-2.1076000000000006,53.992,,,,
4-Seam Fastball,43,FF,2022-07-29,0,94.56744186046517,-1.9234883720930236,53.87093023255814,,,,
Curveball,9,CU,2022-07-29,0,83.61111111111111,-1.9088888888888889,54.13444444444444,,,,
Changeup,4,CH,2022-07-29,0,91.275,-1.885,53.9525,,,,
Curveball,18,CU,2022-08-03,0,83.73333333333335,-1.7288888888888887,54.13888888888888,,,,
4-Seam Fastball,51,FF,2022-08-03,0,94.4862745098039,-1.7505882352941178,54.04764705882353,,,,
Changeup,8,CH,2022-08-03,0,89.575,-1.85,54.405,,,,
Slider,16,SL,2022-08-03,0,86.81875,-1.934375,54.15375,,,,
Curveball,10,CU,2022-08-09,0,82.52000000000001,-1.849,54.136,,,,
4-Seam Fastball,42,FF,2022-08-09,0,95.04047619047618,-1.8807142857142851,53.81690476190476,,,,
Slider,20,SL,2022-08-09,0,86.685,-1.9974999999999996,53.91400000000001,,,,
Changeup,8,CH,2022-08-09,0,89.33749999999999,-1.825,53.995,,,,
4-Seam Fastball,47,FF,2022-08-15,0,94.84468085106384,-1.6119148936170211,53.89531914893616,,,,
Slider,32,SL,2022-08-15,0,87.65312500000002,-1.805625,53.961875000000006,,,,
Curveball,11,CU,2022-08-15,0,83.57272727272726,-1.685454545454545,54.129090909090905,,,,
Changeup,6,CH,2022-08-15,0,91.3,-1.625,53.89833333333333,,,,
4-Seam Fastball,48,FF,2022-08-20,0,94.60625,-1.2960416666666663,53.95854166666666,,,,
Slider,27,SL,2022-08-20,0,87.39629629629628,-1.4133333333333336,54.061851851851856,,,,
Changeup,5,CH,2022-08-20,0,91.52,-1.23,54.024,,,,
Curveball,18,CU,2022-08-20,0,84.68888888888888,-1.267777777777778,54.16388888888889,,,,
Slider,49,SL,2022-08-26,0,87.5938775510204,-1.1432653061224491,54.0587755102041,,,,
4-Seam Fastball,33,FF,2022-08-26,0,95.32121212121214,-0.941818181818182,53.890606060606046,,,,
