pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
Slider,23,SL,2022-04-09,0,87.7,-1.4995652173913043,54.58956521739131,,,,
4-Seam Fastball,21,FF,2022-04-09,0,94.57142857142856,-1.5357142857142858,54.44047619047618,,,,
Changeup,11,CH,2022-04-09,0,90.06363636363636,-1.5018181818181815,54.51454545454546,,,,
Sinker,14,SI,2022-04-09,0,93.15714285714284,-1.5328571428571427,54.46285714285714,,,,
4-Seam Fastball,27,FF,2022-04-15,0,93.95925925925924,-1.6559259259259262,54.4362962962963,,,,
Slider,33,SL,2022-04-15,0,87.65454545454547,-1.5239393939393937,54.50363636363637,,,,
Sinker,18,SI,2022-04-15,0,92.7888888888889,-1.6633333333333336,54.41444444444445,,,,
Changeup,8,CH,2022-04-15,0,89.35,-1.58,54.505,,,,
4-Seam Fastball,42,FF,2022-07-11,0,94.65,-1.470952380952381,54.470238095238095,,,,
Slider,38,SL,2022-07-11,0,86.0157894736842,-1.442631578947368,54.59552631578948,,,,
Changeup,4,CH,2022-07-11,0,90.725,-1.585,54.5025,,,,
Sinker,7,SI,2022-07-11,0,93.78571428571428,-1.5428571428571427,54.47714285714286,,,,
Slider,19,SL,2022-04-22,0,86.12105263157895,-1.5815789473684212,54.49473684210525,,,,
4-Seam Fastball,51,FF,2022-04-22,0,93.41568627450982,-1.5737254901960789,54.44333333333333,,,,
Sinker,15,SI,2022-04-22,0,92.47333333333331,-1.5126666666666668,54.408,,,,
Changeup,6,CH,2022-04-22,0,89.01666666666667,-1.515,54.49,,,,
Slider,27,SL,2022-04-28,0,86.46296296296296,-1.5407407407407403,54.51185185185186,,,,
Sinker,28,SI,2022-04-28,0,92.6035714285714,-1.6142857142857143,54.43607142857143,,,,
Changeup,8,CH,2022-04-28,0,90.275,-1.58125,54.405,,,,
4-Seam Fastball,24,FF,2022-04-28,0,92.5625,-1.58,54.44333333333335,,,,
Slider,47,SL,2022-05-03,0,86.34255319148934,-1.4361702127659568,54.50276595744681,,,,
Sinker,22,SI,2022-05-03,0,92.75909090909092,-1.4363636363636365,54.307272727272725,,,,
