pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
4-Seam Fastball,37,FF,2022-04-09,0,94.0162162162162,-2.128108108108108,53.51486486486487,,,,
Changeup,25,CH,2022-04-09,0,88.612,-2.2060000000000004,53.5644,,,,
Sinker,7,SI,2022-04-09,0,94.07142857142856,-2.128571428571429,53.55285714285714,,,,
Curveball,3,CU,2022-04-09,0,81.33333333333333,-2.013333333333333,53.64666666666667,,,,
Cutter,7,FC,2022-04-09,0,90.47142857142858,-2.15,53.6757142857143,,,,
Changeup,32,CH,2022-04-15,0,87.884375,-2.27625,53.74468749999999,,,,
4-Seam Fastball,37,FF,2022-04-15,0,93.38648648648646,-2.2197297297297296,53.65405405405407,,,,
Curveball,3,CU,2022-04-15,0,80.73333333333333,-2.03,53.583333333333336,,,,
Cutter,11,FC,2022-04-15,0,90.50909090909092,-2.1609090909090907,53.712727272727264,,,,
Sinker,4,SI,2022-04-15,0,93.025,-2.1925,53.682500000000005,,,,
Changeup,37,CH,2022-04-21,0,87.05945945945945,-2.227297297297297,53.64351351351351,,,,
4-Seam Fastball,35,FF,2022-04-21,0,93.26,-2.130857142857143,53.62057142857143,,,,
Cutter,8,FC,2022-04-21,0,88.5,-2.07,53.71125000000001,,,,
Sinker,15,SI,2022-04-21,0,93.46,-2.143333333333333,53.571333333333335,,,,
Curveball,5,CU,2022-04-21,0,80.72,-1.876,53.512,,,,
4-Seam Fastball,36,FF,2022-04-27,0,91.68055555555556,-2.096111111111111,53.69416666666667,,,,
Changeup,31,CH,2022-04-27,0,87.0225806451613,-2.208387096774193,53.6583870967742,,,,
Cutter,9,FC,2022-04-27,0,87.77777777777777,-2.094444444444444,53.71111111111112,,,,
Sinker,4,SI,2022-04-27,0,92.1,-2.1425,53.705,,,,
Curveball,4,CU,2022-04-27,0,80.775,-1.98,53.65,,,,
Changeup,44,CH,2022-05-02,0,86.75227272727274,-2.2440909090909087,53.67431818181819,,,,
4-Seam Fastball,30,FF,2022-05-02,0,92.52666666666669,-2.121666666666667,53.652,,,,
Curveball,5,CU,2022-05-02,0,78.47999999999999,-2.194,53.806,,,,
Cutter,10,FC,2022-05-02,0,87.39,-2.075,53.64200000000001,,,,
