,pitch_name,pitch_num,pitch_type,game_date,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
0,4-Seam Fastball,10,FF,2015-04-05,95.4,-2.121,54.5,,,,
0,Slider,5,SL,2015-04-05,85.2,-2.244,54.5,,,,
0,Sinker,3,SI,2015-04-05,95.23333333333333,-2.2899999999999996,54.5,,,,
