,pitch_name,pitch_num,pitch_type,game_date,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
0,4-Seam Fastball,6,FF,2015-04-05,92.83333333333333,-1.235,54.5,,,,
0,Slider,4,SL,2015-04-05,84.67500000000001,-0.8975,54.5,,,,
